Product URL,Product Name,Product Price,Rating,Number of reviews
https://www.amazon.in/Half-Moon-Laptop-Bag-Compartment/dp/B0C1NZLF67,Half Moon Valex Unisex School Bag/ 15.6 inch Laptop Backpack/College Bagpack/Office Back Packed | Laptop Bag for Men Women | School Bags for Boys & Girls with Small Pockets & Laptop Compartment,549,3.7,163 
https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07ZC77WTW,"SFANE Polyester 23 cms Navy Blue Gym Bag, Shoulder Bag, Sports Bag for Men & Women with Separate Shoes Compartment (Blue)",413,4.3,"3,160 "
https://www.amazon.in/Arctic-Fox-Anti-Theft-Backpack-Charging/dp/B089QCNBWH,Arctic Fox Alarm Zipper System | Anti-Theft Backpack with USB Charging Port | 15.5 Inch Laptop Bag (Glitch Black),"1,899",4.3,398 
https://www.amazon.in/HARISSONS-15-6-inch-Backpack-Organizers-Detachable/dp/B07M5P5LW3,"HARISSONS Bags Vervo 15.6-inch Laptop/Travel/Casual Backpack for Men and Women with Rain Cover (Black, 40 Ltrs) | Quick Access Zippered Pocket, Detailed Organizers & a Detachable Key Chain Holder","2,583",4.4,"2,025 "
https://www.amazon.in/Frantic-Cartoon-Velvet-Preschool-Nursery/dp/B09KY5541N,"Frantic Soft Cartoon Animal Velvet Plush School Backpack Bag For 2 To 5 Years Boys/Girls - Nursery, Preschool, Picnic",289,3.8,"6,064 "
https://www.amazon.in/Dell-Pro-Slim-Backpack-15/dp/B07PMQTB6T,"Dell Pro Slim Backpack 15 - PO1520PS - Fits Most laptops up to 38.1 cm (15 inches, Black)","1,599",4.3,500 
https://www.amazon.in/Wildcraft-ltrs-Cms-backpack-204493566_black/dp/B07GNGG435,Wildcraft 18 ltrs (7 Cms) backpack(204493566_black),"2,095",4.1,189 
https://www.amazon.in/Murano-Casual-daybackpack-Office-College/dp/B0BX9GLFD6,Murano Louis 10ltr Casual daybackpack/Office & Travel Bag/School Bag/College Bag/Men/Women/Girl/Boy (Dark Grey),189,3.4,141 
https://www.amazon.in/Motherly-Diaper-Bags-Travel-Basic/dp/B07PKQ3WJZ,motherly Diaper Bags for Mom Travel Basic Edition (Navy Blue),"1,399",4.5,"2,688 "
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B09T2TCSW7,Half Moon 34 L Water Resistant 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College with Padded Laptop Compartment (Grey),489,3.9,"1,415 "
https://www.amazon.in/G-1-Medium-Disposable-Garbage-Dustbin/dp/B077RJ1YMW,G 1 Disposable Garbage / Dustbin Bags | Medium Size | Pack of 4 | 30 Bags/Pack | Black Color | 19X21 Inches (Plastic),208,4.2,"15,741 "
https://www.amazon.in/Ross-Heating-Pad-Heat-Electric-Assorted/dp/B0CJJKSXW1,"Ross Heating Bag, Hot Water Bags for Pain Relief, Heating Pad-Heat Pouch Hot Water Bottle Bag, Electric Hot Water Bag, Heating Pad for Pain Relief- with Hand Warmer Pockets (Assorted Colors)",199,4.7,17 
https://www.amazon.in/Fastrack-Womens-Sling-Bag-Black/dp/B07MGXR7LT,Fastrack Women's Sling Bag (Black),"1,345",4.0,80 
https://www.amazon.in/Shalimar-Premium-Garbage-Extra-Colour/dp/B07KSZTYWX,Shalimar Premium OXO - Biodegradable Garbage Bags Size 30 X 37 Inches (Extra Large) 60 Bags (4 rolls) Dustbin Bag/Trash Bag - Black Color,494,4.5,"1,457 "
https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG,AirCase C34- 13 Inch/ 14 Inch/15.6 Inch Premium Vegan Leather Laptop Backpack for Men & Women (Black)- 25 Ltrs,849,3.8,"2,269 "
https://www.amazon.in/EUME-Kolkata-Drawstring-Backpack-Compartment/dp/B0BX9P4MJ7,EUME Kolkata Knight Riders 19 Ltrs Drawstring Backpack with 1 Compartment Men & Women Fit Up to 13.3 inch Laptop Black Color,199,3.5,22 
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPVD964,ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,399,3.9,"1,397 "
https://www.amazon.in/FLYNGO-Insulated-School-Tiffine-Storage/dp/B0CJR5Z3ZB,"FLYNGO Insulated Lunch Bag for Kids School, Men, Women Office, Travel Tiffine Pouch for Lunch Box, Heat&Cold Insulated Storage Bag (Blue Leaf)",245,4.9,22 
https://www.amazon.in/Half-Moon-Messenger-Multi-Pocket-Adjustable/dp/B0C5CFCLLJ,Half Moon Urban Explorer PU Leather Stylish Side Sling Cross Body Travel Office Business Messenger Bag with Multi-Pocket Zip Closure and Adjustable Straps For Men Women,269,3.3,37 
https://www.amazon.in/DZert-School-Polyester-Backpack-White/dp/B07GXYHFCY,DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Blue White,339,3.8,"2,612 "
https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B08TDCGCPK,"Amazon Brand - Presto! Oxo-Biodegradable Garbage Bags, Small - 30 bags/roll (Pack of 3, Green, For Wet Waste)",189,4.3,635 
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BYW5SH4L,Half Moon Vision Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment,459,4.3,17 
https://www.amazon.in/BennettTM-Shoulder-Messenger-Repellent-Charcoal/dp/B09CV24TMK,Bennett™ Mystic Unisex Adult Men's Laptop Bag 15.6 inch Side Shoulder Briefcase Satchel Messenger Business Bags for Men & Women Front Pocket for Laptop Accessories - Black (6 Month Warranty),452.20,4.0,"6,870 "
https://www.amazon.in/Amazon-Basics-Laptop-College-Backpack/dp/B0C8NSJ4RD,"Amazon Basics Opel Laptop Bag/Office/College Backpack for 15.6 inch laptop(20 L, Grey)",499,4.0,8 
https://www.amazon.in/TRAWOC-60LTravel-Backpack-Trekking-Rucksack/dp/B07YYG5G31,"TRAWOC 60 Liter Travel Backpack Hiking Trekking Bag Camping Rucksack, 1 Year Warranty, HK006","1,567",4.3,"1,444 "
https://www.amazon.in/Nivia-6853BKGR-Polyester-Black-Grey/dp/B07NLB6FRS,NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,270,4.0,"4,174 "
